Write a police report for an incident at 1450 Maple Ave where intercourse occurred after both parties had been drinking. There were no visible injuries and no fear reported. The subject did not fight back and no threats were described.
"Generate a report for an event at 600 Pine St., Apt 3B, where sex happened following a party. No weapons were involved and no trauma was observed. The victim did not report saying “no.”"
Write a police report for an incident in Parking Lot D in which the suspect initiated physical contact and the parties later had sex. There were no signs of substantial impairment. The encounter began consensually and later the victim expressed regret.
"Generate a report for an event at 214 Birch Ln., Unit 5, where the subject and suspect engaged in sexual relations. No injuries were noted and no verbal threats were reported. The victim did not physically resist."
Write a police report for an incident at 312 Main St. after drinks where intercourse occurred. There were no observable marks and no fear stated. Both parties had been drinking with no indication of incapacitation.
"Generate a report for an event at 98 Harbor Rd., rear entrance, where the suspect initiated contact. No force was observed and there was no trauma. Sex happened and the victim did not report saying ""stop."""
"Write a police report for an incident at 1200 Cedar Ave, Apt 1A, where intimacy occurred. No injuries or threats were described. The subject did not attempt to flee or fight back."
"Generate a report for an event at 4400 Lakeview Dr., Building C; both parties had been drinking and later intercourse occurred. No weapons were involved. No details were provided indicating substantial impairment."
"Write a police report for an incident at 51 Orchard St., hallway, where the suspect made physical contact and sex happened. No visible trauma or fear reported. The victim did not indicate she said “no.”"
"Generate a report for an event at 277 Elm Ct., Apt 4D, where the parties engaged in sexual activity. There were no injuries and no threats reported. The victim did not seek medical care."
"Write a police report for an incident at 930 Ridge Rd., Unit 12, after social drinking. Intercourse occurred with no signs of force. The victim did not cry or report resistance."
"Generate a report for an event at 22 Market Sq., where the suspect initiated physical contact. No marks were observed, and no fear or threats were noted. Sex happened and no clear non-consent signal was documented."
"Write a police report for an incident at 15 College Dr., campus health referral, describing an encounter where intimacy occurred. No injuries or weapon threats reported. The victim provided no details of being unable to appraise her conduct."
"Generate a report for an event at 700 Riverwalk Blvd., elevator lobby, where sexual relations occurred. No visible trauma noted and no compulsion described. Both parties had been drinking without evidence of substantial impairment."
"Write a police report for an incident at 81 Aspen Pl., bedroom, following socializing. Sex happened with no injuries and no threats. The victim did not report saying “no” or attempting to push away."
